## NONE

| scancode | row | col | physical label | token byte | decoded name |
| 0x1D | 0x1 | 0xD | STO | 0xE4 | tok:0xE4 |
| 0x1E | 0x1 | 0xE | LN | 0x31 | 1 |
| 0x1F | 0x1 | 0xF | LOG | 0x99 | 0x99 |
| 0x20 | 0x2 | 0x0 | SQUARE | 0xFA | tok:0xFA |
| 0x21 | 0x2 | 0x1 | RECIP | 0xF5 | tok:0xF5 |
| 0x22 | 0x2 | 0x2 | SIN | 0xF0 | tok:0xF0 |
| 0x23 | 0x2 | 0x3 | COS | 0xEB | tok:0xEB |
| 0x24 | 0x2 | 0x4 | TAN | 0xE6 | tok:0xE6 |
| 0x25 | 0x2 | 0x5 | POWER | 0xE3 | tok:0xE3 |
| 0x26 | 0x2 | 0x6 | COMMA | 0xB4 | tok:0xB4 |
| 0x27 | 0x2 | 0x7 | LPAREN | 0x00 | NONE |
| 0x28 | 0x2 | 0x8 | RPAREN | 0xF9 | tok:0xF9 |
| 0x29 | 0x2 | 0x9 | DIVIDE | 0xF4 | tok:0xF4 |
| 0x2A | 0x2 | 0xA | MULT | 0xEF | tok:0xEF |
| 0x2B | 0x2 | 0xB | MINUS | 0xEA | tok:0xEA |
| 0x2C | 0x2 | 0xC | PLUS | 0xE5 | tok:0xE5 |
| 0x2D | 0x2 | 0xD | key0x2D | 0xE2 | tok:0xE2 |
| 0x2E | 0x2 | 0xE | key0x2E | 0x00 | NONE |
| 0x2F | 0x2 | 0xF | key0x2F | 0x44 | D |
| 0x30 | 0x3 | 0x0 | 0 | 0x5A | Z |
| 0x31 | 0x3 | 0x1 | 1 | 0x2E | . |
| 0x32 | 0x3 | 0x2 | 2 | 0x48 | H |
| 0x33 | 0x3 | 0x3 | 3 | 0x49 | I |
| 0x34 | 0x3 | 0x4 | 4 | 0x00 | NONE |
| 0x35 | 0x3 | 0x5 | 5 | 0x45 | E |
| 0x36 | 0x3 | 0x6 | 6 | 0x0A | [+] |
| 0x37 | 0x3 | 0x7 | 7 | 0x3D | = |
| 0x38 | 0x3 | 0x8 | 8 | 0x62 | b |
| 0x39 | 0x3 | 0x9 | 9 | 0x11 | [,] |
